day,avg_quality,variance,precision
1,4122.586846326569,913528.0324335644,1.3888888888888898e-06
2,4441.716499283518,978875.971641703,1.4305555555555561e-06
3,4791.881604038653,1019590.02706446,1.5277777777777778e-06
4,5151.794325310138,1068941.5021761286,1.6805555555555554e-06
5,5297.436602078644,958345.4640873851,1.9236111111111107e-06
6,5300.054747125346,1140294.1493154063,2.159722222222222e-06
7,5140.38511472339,1613146.347531437,2.4027777777777773e-06
8,5255.101020363152,1395570.1292849705,2.7361111111111092e-06
9,5385.768352881761,1127806.7327424998,2.9791666666666655e-06
10,5417.048348557449,1090471.817202836,3.2777777777777765e-06
11,5405.083501434475,1160905.2109760842,3.5972222222222216e-06
12,5347.639360792098,1286174.1648798694,3.937499999999998e-06
13,5400.234432510833,1197877.2150858166,4.0486111111111085e-06
14,5487.018777464545,998319.0353514438,4.298611111111107e-06
15,5512.747565626459,966214.9283657012,4.548611111111106e-06
16,5455.270577350514,1078631.2777230567,4.86805555555555e-06
17,5391.345368026825,1262182.3394552586,5.048611111111104e-06
18,5344.98126552538,1365716.0346536718,5.409722222222218e-06
19,5600.006031654132,898261.7825822455,5.749999999999997e-06
20,5551.3901153517445,996906.9068488022,6.131944444444442e-06
21,5487.356062407939,1158749.778175627,6.333333333333332e-06
22,5414.428759276376,1320057.2253421296,6.708333333333333e-06
23,5368.963787438145,1445821.7894761246,7.097222222222221e-06
24,5519.058735069782,1079834.1781704628,7.319444444444444e-06
25,5444.117837929504,1226202.414354665,7.618055555555553e-06
26,5390.112358513335,1363828.81561689,7.902777777777775e-06
27,5336.788186594198,1480254.6170972413,8.277777777777774e-06
28,5643.7680442383,837165.2351966406,8.722222222222215e-06
29,5625.273844833092,885081.5841010093,9.138888888888883e-06
30,5619.050041043916,918901.7656079382,9.458333333333326e-06
31,5592.617248366632,955868.7897469562,9.708333333333325e-06
32,5600.783091226982,969685.0109240494,1.0111111111111103e-05
33,5592.988085910521,988176.4236957744,1.0416666666666658e-05
34,5592.981731615282,1016712.2528871248,1.0874999999999993e-05
35,5588.095323841432,1031628.2230707483,1.1236111111111105e-05
36,5582.330783081859,1046818.0441605034,1.1604166666666658e-05
37,5582.636312389334,1055424.4451466103,1.212499999999999e-05
38,5551.066292579486,1105442.2643157362,1.2333333333333324e-05
39,5567.358247288281,1107695.8713983572,1.2874999999999991e-05
40,5544.037989283031,1137641.9533078133,1.3097222222222215e-05
41,5551.069134181672,1145138.379328947,1.3659722222222218e-05
42,5549.768777094574,1140105.9260011883,1.4041666666666661e-05
43,5526.263680455027,1183181.2966890668,1.4263888888888889e-05
44,5526.869670223524,1188409.5504554028,1.4576388888888888e-05
45,5583.048359324286,1078746.6822797335,1.532638888888889e-05
46,5524.501011003677,1201642.9804870565,1.5395833333333333e-05
47,5537.216837536934,1197002.5292759445,1.6048611111111113e-05
48,5538.204496522171,1160883.3946587923,1.609027777777778e-05
49,5532.75736972966,1205795.384816251,1.669444444444444e-05
50,5555.192382556848,1163672.9699851857,1.7215277777777776e-05
51,5548.310923703255,1180717.9314396286,1.7729166666666663e-05
52,5552.4754701890515,1189695.9090378457,1.811805555555555e-05
53,5526.229685184105,1244296.1468379814,1.830555555555555e-05
54,5553.089491653455,1138091.75485887,1.8763888888888883e-05
55,5578.109437469393,1021699.5571173585,1.9118055555555547e-05
56,5562.382181093318,1117269.1849591685,1.9847222222222216e-05
57,5565.052527008359,1078544.526671941,1.9833333333333325e-05
58,5578.2996435487885,1011574.4430715713,1.9722222222222207e-05
59,5541.4279669633615,1167284.4779205255,2.020138888888888e-05
60,5580.210995011431,1038048.8914212189,2.0701388888888882e-05
61,5559.040606123972,1133425.0146082058,2.1020833333333313e-05
62,5570.124851687991,1065588.7654279636,2.1361111111111103e-05
63,5544.9438477000185,1093948.3380747936,2.119444444444443e-05
64,5588.5926152171005,1034559.8854745226,2.2076388888888882e-05
65,5578.571179063134,1027756.8659852785,2.21736111111111e-05
66,5534.802119539931,1193700.9305251916,2.2256944444444426e-05
67,5558.16764509751,1096689.735516409,2.264583333333332e-05
68,5581.025838651437,1033788.1707276661,2.3104166666666648e-05
69,5558.554219678573,1133703.1474132875,2.352083333333332e-05
70,5580.1609592216755,1014696.0031624945,2.3986111111111106e-05
71,5544.535351893059,1123446.2042760178,2.399999999999999e-05
72,5565.522983296973,1097378.932757549,2.4715277777777766e-05
73,5583.414805680484,1030516.192070409,2.5236111111111103e-05
74,5607.454089482602,1025968.0414283044,2.6006944444444435e-05
75,5588.598668862565,1046606.0204598946,2.616666666666666e-05
76,5565.669595439625,1133197.3692159336,2.6708333333333323e-05
77,5581.261055644111,1087891.9193214453,2.6715277777777767e-05
78,5569.8089752091,1063341.8018927828,2.67361111111111e-05
79,5559.823479080651,1087797.6535323358,2.738194444444443e-05
80,5582.885621067803,1081489.5052719952,2.8326388888888875e-05
81,5565.00081895019,1074048.3756582479,2.8076388888888872e-05
82,5573.302243982608,1096119.50006665,2.838888888888889e-05
83,5592.908961152667,1052852.0479289922,2.9451388888888868e-05
84,5570.818362897313,1104792.3037025041,2.9395833333333324e-05
85,5576.910420337943,1053670.02101533,2.9673611111111102e-05
86,5584.940429880971,999792.8464662072,3.060416666666666e-05
87,5566.732767337024,1100047.3336758,2.9833333333333338e-05
88,5547.795395318151,1126731.042317693,3.0749999999999995e-05
89,5601.40984921959,1025620.1879016432,3.144444444444444e-05
90,5600.907970913784,993842.7346910029,3.202777777777777e-05
91,5542.722474951373,1195295.904308713,3.158333333333333e-05
92,5588.274508532063,1082740.1224765074,3.340972222222221e-05
93,5585.207721453599,1027046.6450449383,3.298611111111111e-05
94,5574.9909559560465,1102200.3581595675,3.4284722222222225e-05
95,5617.966963073942,976247.8219863535,3.4513888888888886e-05
96,5582.985543982856,1072529.6037821441,3.461805555555554e-05
97,5602.883125824817,1031220.2264255903,3.543749999999999e-05
98,5618.308096227072,960184.9000650145,3.5666666666666655e-05
99,5594.038251482648,1049538.4695191674,3.6340277777777764e-05
100,5583.380968585132,1056773.5201346106,3.606944444444443e-05
101,5575.576840740832,1054539.5433727193,3.570138888888888e-05
102,5587.422672570475,1061552.0623732095,3.7249999999999984e-05
103,5593.4495211304375,1012597.8172964336,3.695138888888887e-05
104,5574.186266909789,1069074.363016578,3.61597222222222e-05
105,5619.2460676229875,971255.2895926622,3.818749999999998e-05
106,5585.905441472177,1097181.5784623937,3.7972222222222206e-05
107,5600.630478290691,1064047.7434590792,3.806249999999998e-05
108,5572.036947014731,1107243.9385757463,3.8131944444444435e-05
109,5610.754431564665,997336.6764473314,3.894444444444443e-05
110,5602.518188448564,1028726.441671206,3.947222222222221e-05
111,5605.1892235763025,1027184.9318595029,4.0118055555555556e-05
112,5594.534839348298,1071661.0618241918,3.950694444444446e-05
113,5609.849557452095,1031403.0496073817,4.0388888888888887e-05
114,5608.388656186321,1025133.8550895758,4.039583333333335e-05
115,5633.823425464988,946666.453951277,4.213194444444446e-05
116,5593.381428377764,1045898.8277699464,4.056944444444446e-05
117,5606.030605372635,1042427.2088331667,4.241666666666666e-05
118,5591.9773694883515,1063915.6338954442,4.152083333333335e-05
119,5627.520622255327,961470.509642291,4.355555555555558e-05
120,5639.1938117172385,938996.8309823152,4.427777777777776e-05
121,5598.47650294151,1045625.239387778,4.344444444444444e-05
122,5595.899062206249,1030566.5766566156,4.345833333333335e-05
123,5619.769038038536,998787.3726621289,4.496527777777779e-05
124,5607.3840952345745,1027747.9996761894,4.499305555555555e-05
125,5599.760890123343,1007767.9985513496,4.419444444444443e-05
126,5616.284326075573,1006278.6237401172,4.636805555555557e-05
127,5614.965885635371,1004915.6877426151,4.631250000000001e-05
128,5616.989176259078,984453.0332017078,4.68125e-05
129,5609.046155585204,1037438.2938322303,4.779861111111108e-05
130,5620.958788978876,996394.071346043,4.788888888888891e-05
131,5622.463424527086,991105.6394066928,4.900694444444447e-05
132,5598.843022737566,1072183.0098848224,4.790277777777779e-05
133,5601.0646275009985,1063847.3724215135,4.8638888888888884e-05
134,5615.953078202147,1020402.1660119825,4.994444444444445e-05
135,5626.8291200987305,942679.7870850009,4.8986111111111124e-05
136,5634.869923597974,938254.7749259687,5.134027777777778e-05
137,5619.253245520849,1004611.8037109443,5.109722222222222e-05
138,5628.450693864861,978770.1992028551,5.1576388888888894e-05
139,5620.065214655369,989345.0043088743,5.141666666666668e-05
140,5609.856159822137,1028681.1784548057,5.190277777777776e-05
141,5599.574970601779,1032712.1134402355,5.188888888888888e-05
142,5613.111952586141,1019474.3470523702,5.278472222222223e-05
143,5612.281109553279,983795.2247187286,5.240972222222222e-05
144,5621.940546542336,979437.8653291006,5.296527777777776e-05
145,5605.3672677801505,1049537.4939881403,5.436805555555554e-05
146,5624.894191485986,982311.5287270556,5.4715277777777777e-05
147,5612.727011456125,1024653.430902094,5.459027777777781e-05
148,5615.709692077316,1007629.8816654453,5.627777777777777e-05
149,5629.937283440594,982464.3408766984,5.6645833333333326e-05
150,5622.5552591134665,1018127.5966018834,5.749305555555555e-05
151,5614.9233558747255,997293.0001465764,5.57986111111111e-05
152,5633.389946457365,960671.6253657338,5.7763888888888855e-05
153,5624.646430981115,975259.1138012866,5.711805555555555e-05
154,5617.265365258237,1032267.5974823828,5.875694444444445e-05
155,5624.617127740409,972385.0407209945,5.813194444444442e-05
156,5622.840076124376,1014876.5934842933,6.0277777777777797e-05
157,5625.093840716175,967337.7925046704,5.9770833333333334e-05
158,5642.736477949828,925114.2767583538,6.0500000000000034e-05
159,5620.05701714241,1012096.1949904405,6.0513888888888935e-05
160,5585.366835107074,1076950.3716350214,5.89791666666667e-05
161,5625.195775605327,1014164.0290053971,6.294444444444445e-05
162,5611.799690113287,1003186.4355772617,6.22708333333334e-05
163,5632.508454036654,1012299.0991400393,6.454166666666669e-05
164,5631.929512958821,992481.924466526,6.365972222222228e-05
165,5634.110533742188,977372.5840818173,6.339583333333338e-05
166,5615.927517493659,1014254.5953655367,6.337500000000001e-05
167,5624.20718957799,992148.2164474464,6.364583333333335e-05
168,5642.447539754021,953104.6904733242,6.563888888888891e-05
169,5637.795423274257,959404.1829164125,6.598611111111112e-05
170,5626.548880598674,980960.9806168048,6.481944444444445e-05
171,5618.907319258944,1036367.6962777249,6.571527777777781e-05
172,5624.030266608665,1016206.4748697793,6.551388888888893e-05
173,5627.828528992233,1032211.460932779,6.841666666666667e-05
174,5631.505458348222,976220.073894789,6.64236111111111e-05
175,5634.546372494723,986563.3356285177,6.79236111111111e-05
176,5653.6030039276775,926507.3394323516,6.907638888888893e-05
177,5626.964941813386,975706.5516955162,6.879861111111111e-05
178,5639.0299090282615,906339.5806575029,6.838888888888888e-05
179,5624.178343929973,1001585.8642045109,6.899305555555555e-05
180,5625.5778812624,999554.9603433333,6.93541666666667e-05
181,5621.121449872576,1014384.1724656554,6.922222222222223e-05
182,5638.876176601351,944947.8663596631,7.037499999999998e-05
183,5646.582978854975,965236.0465011623,7.372916666666666e-05
184,5617.161863680452,1021527.9525716013,7.170833333333336e-05
185,5631.459163828977,966519.4991920425,7.256249999999998e-05
186,5639.117931917583,970190.4437109914,7.281249999999997e-05
187,5590.850587183424,1064102.312420202,6.96736111111111e-05
188,5627.0895597102635,987066.9520736985,7.215972222222225e-05
189,5647.386830224796,942713.539082123,7.345833333333332e-05
190,5644.456851063563,958063.7128077637,7.485416666666663e-05
191,5653.005313243805,929097.3116076947,7.657638888888889e-05
192,5639.944314782257,980567.9920721434,7.595138888888891e-05
193,5630.090076910447,969048.4953372191,7.476388888888886e-05
194,5625.023083230277,996170.5117791465,7.662499999999998e-05
195,5655.44678752079,912895.8878427421,7.675000000000001e-05
196,5630.1644096463515,982427.6594882485,7.631249999999999e-05
197,5631.9781129707435,979189.6212556659,7.698611111111106e-05
198,5644.338588165355,970471.3026954386,7.957638888888888e-05
199,5649.197659090312,943160.9237292013,7.942361111111111e-05
200,5631.311824980246,978836.6333119791,7.765972222222221e-05
201,5651.522535782312,956511.1063104534,8.118749999999996e-05
202,5613.489347596336,1060231.6315000523,7.79930555555555e-05
203,5628.370951462026,1004213.8124309249,7.583333333333331e-05
204,5642.673236694915,964913.4335868586,7.833333333333329e-05
205,5629.672877642018,995746.0018561077,7.932638888888884e-05
206,5633.630449251984,1019600.6353415708,8.07777777777777e-05
207,5630.057587019642,993742.2204409613,8.013888888888884e-05
208,5633.899985328777,990193.8421277959,8.206249999999994e-05
209,5656.283749532416,927595.4765975242,8.161111111111109e-05
210,5624.42432908921,1014424.5745880465,8.009027777777775e-05
211,5636.457629673869,988540.8667366623,8.290277777777777e-05
212,5640.400778274106,972379.0152033733,8.363888888888885e-05
213,5663.496015474794,925459.3873605997,8.677777777777774e-05
214,5647.6503399942485,969530.8698613356,8.458333333333329e-05
215,5647.637991010023,971749.4211192481,8.420138888888887e-05
216,5659.471530412189,923801.8899817318,8.662499999999994e-05
217,5652.537344451793,922121.3463906483,8.534722222222217e-05
218,5620.971832061612,1035336.1963903554,8.541666666666664e-05
219,5657.803784252758,943571.1191698618,8.92430555555555e-05
220,5646.257754448237,966625.5354738712,8.681249999999996e-05
221,5654.079388520106,947472.0677628983,8.781249999999997e-05
222,5643.315074241928,959936.6282273695,8.630555555555556e-05
223,5647.130887779973,975787.105995634,8.954166666666667e-05
224,5666.858143364166,895081.3266772863,8.997916666666665e-05
225,5648.64321860378,931847.3129518535,8.955555555555553e-05
226,5639.018479612391,954598.457425888,9.011111111111108e-05
227,5650.94894593384,935686.6152783602,8.96666666666667e-05
228,5639.970246444752,981918.5006085824,9.08402777777778e-05
229,5628.938642351816,1004707.4087443859,8.994444444444441e-05
230,5637.236247880368,991163.6050300701,8.91597222222222e-05
231,5654.370960117976,959695.5434722999,9.177083333333334e-05
232,5647.956815193862,948518.5362630419,8.821527777777777e-05
233,5642.419600890486,963017.2240018366,9.021527777777777e-05
234,5649.485400003934,964762.9080872688,9.108333333333332e-05
235,5647.489436401975,977279.9474289886,9.272222222222222e-05
236,5640.984897386644,967449.0424702415,8.95833333333333e-05
237,5653.4964378950235,971455.3594426782,9.244444444444441e-05
238,5653.886155209851,922459.5502948529,9.160416666666665e-05
239,5646.296311060158,987906.3356288486,9.507638888888889e-05
240,5644.2812435447695,980899.6385954753,9.454166666666668e-05
241,5639.925942605514,974136.3476459358,9.27083333333333e-05
242,5680.421576084619,873075.362672775,9.784722222222218e-05
243,5658.169119362696,946203.9627317016,9.708333333333331e-05
244,5661.665103193293,934001.293109312,9.581249999999999e-05
245,5646.979627258006,963457.9199495197,9.55347222222222e-05
246,5646.644957185281,979349.3953266497,9.858333333333334e-05
247,5662.587187224475,933649.1391787515,9.953472222222217e-05
248,5652.529996073977,962694.6799740451,9.930555555555556e-05
249,5660.337882153169,945160.4970410974,0.00010059027777777777
250,5648.699317927068,945327.5331074303,9.715277777777778e-05
